experiment_id,timestamp,model_name,epochs,actual_epochs,batch_size,dropout_rate,learning_rate,optimizer,augmentation,total_seconds,best_train_accuracy,best_val_accuracy,best_train_loss,best_val_loss,history_csv_file,num_layers,tensorboard_log_dir
16,20240822-152013,CNN3,350,13,64,0.3,0.0001,adam,False,211.881261,0.6126154065132141,0.34294870495796204,1.245388150215149,2.546243190765381,results\training_history_16_20240822-152013.csv,,results\tensorboard_logs_16_20240822-152013
17,20240822-152353,CNN3,350,13,64,0.4,0.0001,adam,False,227.537332,0.5586153864860535,0.30288460850715637,1.4126592874526978,2.6012160778045654,results\training_history_17_20240822-152353.csv,,results\tensorboard_logs_17_20240822-152353
18,20240822-152748,CNN1,350,20,128,0,0.0001,adam,False,143.429662,0.7466922998428345,0.3798076808452606,0.983287513256073,2.398930549621582,results\training_history_18_20240822-152748.csv,,results\tensorboard_logs_18_20240822-152748
19,20240822-153018,CNN2,350,11,128,0,0.0001,adam,False,172.822645,0.8090000152587891,0.39262819290161133,0.6594674587249756,2.301610231399536,results\training_history_19_20240822-153018.csv,,results\tensorboard_logs_19_20240822-153018
20,20240822-153317,CNN3,350,11,128,0,0.0001,adam,False,155.136221,0.5450769066810608,0.26442307233810425,1.531234860420227,2.721660614013672,results\training_history_20_20240822-153317.csv,,results\tensorboard_logs_20_20240822-153317
21,20240822-153557,CNN1,350,15,64,0,0.1,adam,False,127.10663,0.03999999910593033,0.03846153989434242,3.2712156772613525,3.268021583557129,results\training_history_21_20240822-153557.csv,,results\tensorboard_logs_21_20240822-153557
22,20240822-153812,CNN1,350,11,64,0,0.01,adam,False,93.998195,0.0384230762720108,0.03846153989434242,3.2599825859069824,3.2588233947753906,results\training_history_22_20240822-153812.csv,,results\tensorboard_logs_22_20240822-153812
23,20240822-153952,CNN1,350,9,64,0,0.001,adam,False,87.151852,0.836884617805481,0.38461539149284363,0.5747827887535095,2.749274969100952,results\training_history_23_20240822-153952.csv,,results\tensorboard_logs_23_20240822-153952
24,20240822-154128,CNN1,350,15,64,0,0.0001,adam,False,153.878475,0.7587307691574097,0.38621795177459717,0.8843321204185486,2.3654727935791016,results\training_history_24_20240822-154128.csv,,results\tensorboard_logs_24_20240822-154128
25,20240822-154410,CNN1,350,77,64,0,1e-05,adam,False,703.035755,0.6790769100189209,0.3509615361690521,1.4472743272781372,2.350933313369751,results\training_history_25_20240822-154410.csv,,results\tensorboard_logs_25_20240822-154410
26,20240822-155600,CNN1,350,134,64,0,0.0001,sgd,False,1672.959777,0.09726922959089279,0.0625,3.257903814315796,3.257991313934326,results\training_history_26_20240822-155600.csv,,results\tensorboard_logs_26_20240822-155600
27,20240822-162415,CNN1,350,174,64,0,0.0001,adadelta,False,2954.364326,0.05642307549715042,0.05929487198591232,3.257981777191162,3.258026599884033,results\training_history_27_20240822-162415.csv,,results\tensorboard_logs_27_20240822-162415
0,20240822-190230,DNN1,350,38,64,0,0.0001,adam,False,110.457755,0.610076904296875,0.2580128312110901,1.7123857736587524,2.8292877674102783,results\training_history_0_20240822-190230.csv,,results\tensorboard_logs_0_20240822-190230.csv
1,20240822-190428,DNN2,350,12,64,0,0.0001,adam,False,56.625288,0.5105000138282776,0.20512820780277252,1.710533618927002,2.981712579727173,results\training_history_1_20240822-190428.csv,,results\tensorboard_logs_1_20240822-190428.csv
